NO.;Time;Interval;Indoor Temperature(oC);Indoor Humidity(%);Outdoor Temperature(oC);Outdoor Humidity(%);Relative Pressure(hpa);Absolute Pressure(hpa);Wind Speed(m/s);Gust(m/s);Wind Direction;DewPoint(oC);WindChill(oC);Hour Rainfall(mm);24 Hour Rainfall(mm);Week Rainfall(mm);Month Rainfall(mm);Total Rainfall(mm)
116; 23/11/2018 08:52:47;5; 30.7;50; 23.2;74; 1008.8; 904.8; 2.0; 3.4; NE; 18.3; 22.7; 0.00; 0.00; 0.00; 0.00; 0.00
117; 23/11/2018 08:57:47;5; 30.9;50; 24.1;72; 1008.7; 904.7; 1.4; 2.0; SE; 18.8; 24.1; 0.00; 0.00; 0.00; 0.00; 0.00
118; 23/11/2018 09:02:47;5; 30.7;50; 24.1;71; 1008.6; 904.6; 1.4; 2.7; E; 18.5; 24.1; 0.00; 0.00; 0.00; 0.00; 0.00
119; 23/11/2018 09:07:47;5; 30.7;49; 24.1;71; 1008.6; 904.6; 5.1; 6.5; NE; 18.5; 21.8; 0.00; 0.00; 0.00; 0.00; 0.00
120; 23/11/2018 09:12:47;5; 30.5;50; 24.1;72; 1008.8; 904.8; 2.0; 2.7; N; 18.8; 23.7; 0.00; 0.00; 0.00; 0.00; 0.00
121; 23/11/2018 09:17:47;5; 30.7;50; 24.9;71; 1008.9; 904.9; 1.4; 1.7; E; 19.3; 24.9; 0.00; 0.00; 0.00; 0.00; 0.00
122; 23/11/2018 09:22:47;5; 30.9;50; 25.0;68; 1008.8; 904.8; 3.4; 5.8; E; 18.7; 23.7; 0.00; 0.00; 0.00; 0.00; 0.00
123; 23/11/2018 09:27:47;5; 30.7;50; 25.0;69; 1008.6; 904.6; 2.0; 3.4; N; 18.9; 24.6; 0.00; 0.00; 0.00; 0.00; 0.00
124; 23/11/2018 09:32:47;5; 30.7;50; 25.5;68; 1008.8; 904.8; 2.7; 3.4; NE; 19.2; 24.7; 0.00; 0.00; 0.00; 0.00; 0.00
125; 23/11/2018 09:37:47;5; 30.6;50; 25.8;67; 1008.7; 904.7; 4.4; 5.4; NE; 19.2; 24.2; 0.00; 0.00; 0.00; 0.00; 0.00
126; 23/11/2018 09:42:47;5; 29.5;51; 24.1;70; 1008.9; 904.9; 1.4; 2.7; NE; 18.3; 24.1; 0.00; 0.00; 0.00; 0.00; 0.00
127; 23/11/2018 09:47:47;5; 28.8;53; 24.1;71; 1008.7; 904.7; 3.1; 4.4; N; 18.5; 22.8; 0.00; 0.00; 0.00; 0.00; 0.00
128; 23/11/2018 09:52:47;5; 28.3;54; 24.1;71; 1008.7; 904.7; 3.7; 5.1; N; 18.5; 22.5; 0.00; 0.00; 0.00; 0.00; 0.00
129; 23/11/2018 09:57:47;5; 27.5;56; 23.2;72; 1008.6; 904.6; 2.0; 4.1; N; 17.9; 22.7; 0.00; 0.00; 0.00; 0.00; 0.00
130; 23/11/2018 10:02:47;5; 27.5;56; 24.1;71; 1008.4; 904.4; 3.1; 4.4; ENE; 18.5; 22.8; 0.00; 0.00; 0.00; 0.00; 0.00
131; 23/11/2018 10:07:47;5; 26.9;57; 24.1;70; 1008.4; 904.4; 2.0; 3.1; NE; 18.3; 23.7; 0.00; 0.00; 0.00; 0.00; 0.00
132; 23/11/2018 10:12:47;5; 26.9;58; 24.2;69; 1008.6; 904.6; 2.7; 4.4; N; 18.2; 23.2; 0.00; 0.00; 0.00; 0.00; 0.00
133; 23/11/2018 10:17:47;5; 26.7;58; 24.1;69; 1008.4; 904.4; 5.1; 7.8; N; 18.1; 21.8; 0.00; 0.00; 0.00; 0.00; 0.00
134; 23/11/2018 10:22:47;5; 26.7;58; 24.8;68; 1008.5; 904.5; 4.1; 5.1; N; 18.5; 23.1; 0.00; 0.00; 0.00; 0.00; 0.00
135; 23/11/2018 10:27:47;5; 26.8;58; 25.0;67; 1008.4; 904.4; 3.4; 4.1; NE; 18.5; 23.7; 0.00; 0.00; 0.00; 0.00; 0.00
136; 23/11/2018 10:32:47;5; 26.8;58; 25.0;67; 1008.3; 904.3; 2.0; 2.4; NE; 18.5; 24.6; 0.00; 0.00; 0.00; 0.00; 0.00
137; 23/11/2018 10:37:47;5; 26.9;57; 25.0;65; 1008.2; 904.2; 2.7; 3.4; NE; 18.0; 24.1; 0.00; 0.00; 0.00; 0.00; 0.00
138; 23/11/2018 10:42:47;5; 27.0;55; 24.9;66; 1008.3; 904.3; 4.1; 5.4; ENE; 18.1; 23.2; 0.00; 0.00; 0.00; 0.00; 0.00
139; 23/11/2018 10:47:47;5; 26.8;56; 24.8;66; 1008.3; 904.3; 3.7; 5.1; N; 18.0; 23.3; 0.00; 0.00; 0.00; 0.00; 0.00
140; 23/11/2018 10:52:47;5; 26.8;57; 25.0;65; 1008.2; 904.2; 4.4; 7.1; NNW; 18.0; 23.2; 0.00; 0.00; 0.00; 0.00; 0.00
141; 23/11/2018 10:57:47;5; 26.7;56; 24.8;65; 1008.3; 904.3; 4.1; 5.1; E; 17.8; 23.1; 0.00; 0.00; 0.00; 0.00; 0.00
142; 23/11/2018 11:02:47;5; 26.6;58; 24.8;67; 1008.3; 904.3; 6.1; 7.1; NE; 18.3; 22.3; 0.00; 0.00; 0.00; 0.00; 0.00
143; 23/11/2018 11:07:47;5; 26.7;59; 25.5;66; 1008.6; 904.6; 3.1; 4.1; NE; 18.7; 24.4; 0.00; 0.00; 0.00; 0.00; 0.00
